dataset_name,identifier,directory
2020-DiversityOne-Amrita-Application,004.AAAD.AAG.AG,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/App-usage/application.parquet
2020-DiversityOne-Amrita-Battery Charge,004.AAAD.AAG.BT,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/batterycharge.parquet
2020-DiversityOne-Amrita-Battery Monitoring Log,004.AAAD.AAG.BU,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/batterymonitoringlog.parquet
2020-DiversityOne-Amrita-Bluetooth,004.AAAD.AAG.CE,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Connectivity/bluetooth.parquet
2020-DiversityOne-Amrita-Cellular Network,004.AAAD.AAG.AM,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Connectivity/cellularnetwork.parquet
2020-DiversityOne-Amrita-Doze,004.AAAD.AAG.BV,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/doze.parquet
2020-DiversityOne-Amrita-Gyroscope,004.AAAD.AAG.BB,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Motion/gyroscope.parquet
2020-DiversityOne-Amrita-Headset Plug,004.AAAD.AAG.AH,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/App-usage/headsetplug.parquet
2020-DiversityOne-Amrita-Light,004.AAAD.AAG.AR,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Environment/light.parquet
2020-DiversityOne-Amrita-Location POI,004.AAAD.AAG.CC,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Position/location_poi.parquet
2020-DiversityOne-Amrita-Location RD,004.AAAD.AAG.CD,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Position/location_rd.parquet
